slug,vehicle_no,loading_out_time,unloading_in_time,origin,destination,consigner_code
CTF4CU00,MH46BM2815,2020-07-13 23:37:47,2020-07-14 11:25:57,KHAPOLI,PUNE,BHUSHAN
CTP7CU00,UP17AT7561,2020-07-13 23:23:10,2020-07-13 23:57:30,SAHIBABAD,NEW DELHI,BHUSHAN
CT79CU00,UP14FT7450,2020-07-13 20:34:31,2020-07-13 21:36:31,SAHIBABAD,NOIDA,BHUSHAN
CTGBCU00,OD04M1081,2020-07-14 18:06:04,2020-07-19 05:17:58,MERAMANDALI,Aluva,BHUSHAN
CTCCCU00,UP64AT2895,2020-07-14 01:36:13,2020-07-15 21:49:07,SAHIBABAD,Gorakhpur,BHUSHAN
CTJCCU00,UP17T9896,2020-07-14 03:28:39,2020-07-15 08:24:08,SAHIBABAD,LUCKNOW,BHUSHAN
CTSCCU00,HR38R1152,2020-07-13 23:15:10,2020-07-13 23:43:50,SAHIBABAD,Mundka,BHUSHAN
CTTCCU00,HR55L7860,2020-07-13 23:08:22,2020-07-13 23:43:52,SAHIBABAD,Mundka,BHUSHAN
CTMECU00,HR38R7507,2020-07-14 02:04:13,2020-07-14 05:20:35,SAHIBABAD,GAUTAMBUDHA NAGAR,BHUSHAN
CT5FCU00,RJ02GB9595,2020-07-14 16:35:21,2020-07-18 11:20:39,MERAMANDALI,CHENNAI AMBATTUR,BHUSHAN
CTJFCU00,OD04K2961,2020-07-14 12:46:22,2020-07-19 06:22:11,MERAMANDALI,KERALA PALA,BHUSHAN
CTLFCU00,OD04K3363,2020-07-14 07:45:28,2020-07-18 22:12:10,MERAMANDALI,TRICHUR,BHUSHAN
CTAHCU00,NL01L1499,2020-07-14 18:07:13,2020-07-19 18:01:17,MERAMANDALI,"PULLUVAZHY, ERNAKULAM",BHUSHAN
CTBHCU00,NL01Q3029,2020-07-14 01:26:26,2020-07-19 18:01:26,MERAMANDALI,"PULLUVAZHY, ERNAKULAM",BHUSHAN
CTMKCU00,HR55AH5901,2020-07-14 02:08:17,2020-07-14 02:58:06,SAHIBABAD,DELHI,BHUSHAN
CTELCU00,UP17AT7562,2020-07-14 04:38:06,2020-07-14 05:12:43,SAHIBABAD,Delhi,BHUSHAN
CT3MCU00,HR38W7555,2020-07-14 00:54:25,2020-07-14 03:53:10,SAHIBABAD,FARIDABAD,BHUSHAN
CTQNCU00,MH26AD1018,2020-07-13 20:56:52,2020-07-15 06:48:41,KHAPOLI,BHIWANDI,BHUSHAN
CTSNCU00,MP09HH9401,2020-07-14 05:57:04,2020-07-15 06:13:11,KHAPOLI,PITHAMPUR,BHUSHAN
CTKYCU00,UP74T5155,2020-07-01 00:24:34,2020-07-02 04:29:06,SAHIBABAD,LUCKNOW,BHUSHAN
CTE3DU00,NL01AA9969,2020-07-14 01:18:50,2020-07-18 16:00:27,MERAMANDALI,BHACHAU,BHUSHAN
CTT4DU00,RJ39GA3733,2020-07-14 08:16:06,2020-07-16 12:01:24,MERAMANDALI,NAGPUR,BHUSHAN
CTD5DU00,HR38X4582,2020-06-30 13:01:17,2020-07-02 08:48:39,SAHIBABAD,Varanasi,BHUSHAN
CTU8DU00,HR55V4974,2020-07-01 00:04:42,2020-07-01 01:11:12,SAHIBABAD,Delhi,BHUSHAN
CTW8DU00,UP81CT5189,2020-06-30 06:45:55,2020-06-30 20:33:34,SAHIBABAD,Delhi,BHUSHAN
CT0IDU00,HR55L7860,2020-06-30 18:09:31,2020-06-30 20:57:43,SAHIBABAD,Delhi,BHUSHAN
CTDIDU00,UP81AF2855,2020-07-01 05:18:44,2020-07-01 11:15:18,SAHIBABAD,roorkee,BHUSHAN
CT6JDU00,HR55L9174,2020-07-01 11:54:29,2020-07-01 12:34:04,SAHIBABAD,GHAZIABAD,BHUSHAN
CT0KDU00,HR55L7205,2020-07-02 01:27:25,2020-07-02 02:29:28,SAHIBABAD,Delhi,BHUSHAN
CT1KDU00,UP17AT7564,2020-07-01 23:14:51,2020-07-02 03:49:55,SAHIBABAD,Delhi,BHUSHAN
CTUKDU00,HR38W3570,2020-06-30 19:28:51,2020-07-01 04:40:21,SAHIBABAD,NEW DELHI,BHUSHAN
CT8ODU00,HR38W7555,2020-06-30 22:53:42,2020-07-01 03:10:55,SAHIBABAD,FARIDABAD,BHUSHAN
CT7PDU00,UP81CT5189,2020-06-01 23:40:12,2020-06-02 00:30:45,SAHIBABAD,Delhi,BHUSHAN
CTHPDU00,HR38R7507,2020-06-24 04:09:45,2020-06-24 04:47:18,SAHIBABAD,MODINAGAR,BHUSHAN
CTIPDU00,UP17T7370,2020-06-24 22:54:38,2020-06-29 14:23:38,SAHIBABAD,Rourkela,BHUSHAN
CTNPDU00,HR38R1229,2020-06-29 12:25:43,2020-06-29 22:18:57,SAHIBABAD,HISAR,BHUSHAN
CTRPDU00,HR55V2514,2020-06-11 21:18:45,2020-06-12 05:01:26,SAHIBABAD,MODINAGAR,BHUSHAN
CTXPDU00,HR38W5054,2020-06-24 00:55:43,2020-06-24 03:28:34,SAHIBABAD,BHIWADI,BHUSHAN
CTYPDU00,HR38R1073,2020-06-28 22:59:01,2020-06-29 22:18:53,SAHIBABAD,HISAR,BHUSHAN
CT3QDU00,HR55V2514,2020-06-05 20:57:49,2020-06-06 05:00:01,SAHIBABAD,MODINAGAR,BHUSHAN
CT4QDU00,HR38U3288,2020-06-25 12:32:03,2020-06-26 08:10:35,SAHIBABAD,BADDI,BHUSHAN
CT5QDU00,UP17AT7564,2020-06-02 20:46:00,2020-06-02 23:40:27,SAHIBABAD,Delhi,BHUSHAN
CT9QDU00,UP14JT4648,2020-06-26 15:01:39,2020-07-01 05:38:14,SAHIBABAD,Rourkela,BHUSHAN
CTBQDU00,OD04K3370,2020-06-24 14:52:48,2020-06-29 19:12:50,SAHIBABAD,Rourkela,BHUSHAN
CTIQDU00,HR55L7205,2020-06-16 23:53:16,2020-06-17 01:48:36,SAHIBABAD,Delhi,BHUSHAN
CTLQDU00,HR55S4464,2020-06-27 01:46:31,2020-06-27 03:38:35,SAHIBABAD,Delhi,BHUSHAN
CTKRDU00,HR38X6483,2020-06-24 12:50:47,2020-06-25 06:56:01,SAHIBABAD,Jalandhar,BHUSHAN
CTLRDU00,PB11AT8465,2020-06-22 22:44:22,2020-06-23 21:00:50,SAHIBABAD,PARWANOO,BHUSHAN
CTNRDU00,HR38V0678,2020-06-14 16:23:26,2020-06-15 05:24:35,SAHIBABAD,Jalandhar,BHUSHAN
CT9SDU00,HR38U8111,2020-06-17 14:52:26,2020-06-18 09:24:30,SAHIBABAD,Gagret,BHUSHAN
CTPSDU00,HR55Q9481,2020-06-08 23:51:33,2020-06-09 04:58:08,SAHIBABAD,ROHTAK,BHUSHAN
CTRSDU00,UP21CN5129,2020-06-24 19:46:33,2020-06-25 08:03:53,SAHIBABAD,roorkee,BHUSHAN
CTSSDU00,HR38W7555,2020-06-18 01:37:07,2020-06-18 05:10:41,SAHIBABAD,GHAZIABAD,BHUSHAN
CTWSDU00,HR38X0506,2020-06-17 23:22:48,2020-06-19 05:04:29,SAHIBABAD,JAMMU,BHUSHAN
CT3TDU00,HR55R4782,2020-06-13 17:28:49,2020-06-14 03:54:50,SAHIBABAD,GHAZIABAD,BHUSHAN
CT5TDU00,HR38V7924,2020-06-13 21:22:37,2020-06-14 04:01:31,SAHIBABAD,KOSI KALAN,BHUSHAN
CT6TDU00,HR55L9174,2020-06-30 01:25:59,2020-06-30 01:35:48,SAHIBABAD,GHAZIABAD,BHUSHAN
CTAUDU00,MH46BM2793,2020-07-13 23:17:24,2020-07-15 09:53:56,KHAPOLI,PUNE (CHAKAN),BHUSHAN
CTHUDU00,HR38U3230,2020-06-12 21:10:27,2020-06-13 07:07:16,SAHIBABAD,BADDI,BHUSHAN
